,path,filename,hash,ismal,istrain
0,./data/raw/1/train/7ef9ec3954763ce4adc8f608e456d1c25e42caa6.npy,7ef9ec3954763ce4adc8f608e456d1c25e42caa6.npy,7ef9ec3954763ce4adc8f608e456d1c25e42caa6,1,train
1,./data/raw/1/train/3b7122e34d57d3583542fd71da310c69f2ca3bea.npy,3b7122e34d57d3583542fd71da310c69f2ca3bea.npy,3b7122e34d57d3583542fd71da310c69f2ca3bea,1,train
2,./data/raw/1/train/3ba1e31f5798cd6faea4ee17932afbb477c60f8c.npy,3ba1e31f5798cd6faea4ee17932afbb477c60f8c.npy,3ba1e31f5798cd6faea4ee17932afbb477c60f8c,1,train
3,./data/raw/1/train/f2c38803b43c16ae9852c74a95285d59487c0918.npy,f2c38803b43c16ae9852c74a95285d59487c0918.npy,f2c38803b43c16ae9852c74a95285d59487c0918,1,train
4,./data/raw/1/train/a3236d22849cc5bcece93f725ee751681dcadcf0.npy,a3236d22849cc5bcece93f725ee751681dcadcf0.npy,a3236d22849cc5bcece93f725ee751681dcadcf0,1,train
5,./data/raw/1/train/553dc91cd27e5d87665a7ab0a64e9d956db663d7.npy,553dc91cd27e5d87665a7ab0a64e9d956db663d7.npy,553dc91cd27e5d87665a7ab0a64e9d956db663d7,1,train
6,./data/raw/1/train/970b16310469af889a4c1d70dcc9f87d6e47d8a9.npy,970b16310469af889a4c1d70dcc9f87d6e47d8a9.npy,970b16310469af889a4c1d70dcc9f87d6e47d8a9,1,train
7,./data/raw/1/train/d1d74f3be302ad85f21b54fe01be2cde4e9d9459.npy,d1d74f3be302ad85f21b54fe01be2cde4e9d9459.npy,d1d74f3be302ad85f21b54fe01be2cde4e9d9459,1,train
8,./data/raw/1/train/d0bdd44964cf7e760af517fc6d5fe9b63bee3f60.npy,d0bdd44964cf7e760af517fc6d5fe9b63bee3f60.npy,d0bdd44964cf7e760af517fc6d5fe9b63bee3f60,1,train
9,./data/raw/1/train/acf5e2fcade092ed2a3615095010dcb9cc713bee.npy,acf5e2fcade092ed2a3615095010dcb9cc713bee.npy,acf5e2fcade092ed2a3615095010dcb9cc713bee,1,train
10,./data/raw/1/train/973afcba1ddfdd963be6d846067f51274d38341f.npy,973afcba1ddfdd963be6d846067f51274d38341f.npy,973afcba1ddfdd963be6d846067f51274d38341f,1,train
11,./data/raw/1/train/5d2ecc6012cef412ea59d130831e3a043645e78d.npy,5d2ecc6012cef412ea59d130831e3a043645e78d.npy,5d2ecc6012cef412ea59d130831e3a043645e78d,1,train
12,./data/raw/1/train/30be8b0eaa6306a5437d7257c2f6af2b1bf00708.npy,30be8b0eaa6306a5437d7257c2f6af2b1bf00708.npy,30be8b0eaa6306a5437d7257c2f6af2b1bf00708,1,train
13,./data/raw/1/train/7440d9d6ebb0baa66f2dd19896d51b1364a1e007.npy,7440d9d6ebb0baa66f2dd19896d51b1364a1e007.npy,7440d9d6ebb0baa66f2dd19896d51b1364a1e007,1,train
14,./data/raw/1/train/b517a32fb80a1e3404500981abe0b6a165f9a8a3.npy,b517a32fb80a1e3404500981abe0b6a165f9a8a3.npy,b517a32fb80a1e3404500981abe0b6a165f9a8a3,1,train
15,./data/raw/1/train/e7a1052211c7a40dd7572773c7ac2e81c3e46c6e.npy,e7a1052211c7a40dd7572773c7ac2e81c3e46c6e.npy,e7a1052211c7a40dd7572773c7ac2e81c3e46c6e,1,train
16,./data/raw/1/train/46d1d62db3978ff4138088ac844389023174e4cd.npy,46d1d62db3978ff4138088ac844389023174e4cd.npy,46d1d62db3978ff4138088ac844389023174e4cd,1,train
17,./data/raw/1/train/5a371388992cecdc665d88c13625e208385c0743.npy,5a371388992cecdc665d88c13625e208385c0743.npy,5a371388992cecdc665d88c13625e208385c0743,1,train
18,./data/raw/1/train/00c3ed85c8bd9a790cab6ce84ffc3d6136d592f0.npy,00c3ed85c8bd9a790cab6ce84ffc3d6136d592f0.npy,00c3ed85c8bd9a790cab6ce84ffc3d6136d592f0,1,train
19,./data/raw/1/train/0cf0fb78d864a7488dca35252ce0353ae5732019.npy,0cf0fb78d864a7488dca35252ce0353ae5732019.npy,0cf0fb78d864a7488dca35252ce0353ae5732019,1,train
